id,matricula,marca,modelo,nSerie,ano,tipo,kmsAtuais,horasAtuais,empresaId,estaleiroId,notas,proximaRevisaoKms,proximaRevisaoHoras
1cc87a50-60b0-493b-a6da-d3280befcf31,16-UA-74,"Goupil","G4",VRWGWMZZZH0L00556,,Equipamento,0,0,E107,,"",,
1ce33ffd-0be0-44d2-a330-36bce9bb3c62,BZ-08-EE,"Goupil","G4",TAPPWMZZZS0K00508,,G4 14kw - Cx  Fixa,0,0,E051,,"",,
1fbcfc56-d2e8-4b82-9bff-36db41bcd63c,90-TA-97,"Goupil","G4",VRWGWMZZZG0L00061,,Equipamento,0,0,E043,,"",,
1fd89eea-8adf-4c39-854c-fe8e83fc0802,53-TS-62,"Goupil","G4",VRWGWMZZZH0L00263,,Equipamento,0,0,E024,,"",,
20acfc50-93dc-445c-b642-4cdf47f6b1b0,04-ZC-79,"Goupil","G4",VRWGWMZZZK0L00197,,Equipamento,0,0,E004,,"",,
20bbe2fe-cd65-4e47-b7fe-6aa7cec77d57,CA-41-FG,"OHM","S35",LA9CBC2B0SBALZ035,,Caixa Fixa,0,0,E001,,"",,
214366ab-cb89-421c-82d6-ab031943a5e7,BU-43-HX - 809,"Goupil","G4",TAPPWMZZZS0K00025,,G4 14kw - Cx  Basc,0,0,E009,,"",,
215d929a-3f84-4e8a-8a27-549165896196,67-TN-85 - 738,"Goupil","G4",VRWGWMZZZH0L00221,,Equipamento,0,0,E009,,"",,
24be1bfa-8e67-45d7-bca6-7d8b0fe950f3,CI-80-TP,"GOUPIL","G4",VRWGWLZZ6T0K00290,,Equipamento,0,0,E210,,"",,
25af22b5-8993-40a7-9310-2b77c06be7d7,53-TS-63,"Goupil","G4",VRWGWMZZZH0L00264,,Equipamento,0,0,E024,,"",,
26265589-a9bc-400a-8e29-1980334c99c4,BX-68-UT,"Goupil","G6",VRWG6MZZ7S0K00075,,G6 28.8 kw - Cx Basc,0,0,E193,,"",,
2627f625-6b0e-4aff-803e-030938b13a06,24462421,"TSM","ARIA 240",24462421,,Equipamento,0,0,E171,,"",,
29ced881-f340-4bf1-8308-b2572b71a016,AZ-64-HO,"Goupil","G4",TAPPWMZZZM0K01748,,Equipamento,0,0,E119,,"",,
29de44ab-d89f-4470-a502-a987aedffa8b,BD-13-AJ,"HAKO","1650",WHW14911520780300,,Equipamento,0,0,E130,,"",,
2b4397d2-e44e-4349-a215-3d1b3f08fa9f,90-TQ-59,"Goupil","G4",VRWGWMZZZH0L00265,,Equipamento,0,0,E017,,"",,
2c6efc93-8331-4960-b90d-3150c45057ce,16-UA-73,"Goupil","G4",VRWGWMZZZH0L00558,,Equipamento,0,0,E055,,"",,
2c8b6de8-cbc9-4eba-a44d-172228ce4ad7,BF-82-DM,"HAKO","1650",WHW14911531230200,,Equipamento,0,0,E007,,"",,
2cf37fa0-23a6-4ef3-9bfc-2055f79995a1,BP-18-EZ,"Goupil","G4",VRWGWLZZZP0K00314,,G4 21 - TECAM,0,0,E013,,"",,
2dc74af6-e9f9-4e7f-93f0-93477499a870,BR-92-VM,"Goupil","G4",VRWGWLZZZR0K00998,,G4L - Cx 12 contentores,0,0,E185,,"",,
