id,codigo,designacao
0f05814e-b675-47b7-b99e-f94f64bc305f,OF-CS-PO-FR-M5,PORCA FREIADA M5
0f1f54f8-da66-4f1f-b736-fad804a0eed1,GO-2100760,RESISTENCIA DO AQUECIMENTO
0f26c318-cf75-44ff-9b90-e590734f8d8f,HA-69023687,FILTRO CABINE
0f64d7de-a648-471c-85e6-192a0de09457,GO-6207264-1004,GRELHA FRONTAL BRANCA G4
1022f09d-a08e-43b0-a001-451baac96560,OF-CS-AN-RE-M6,ANILHA RECARTILHADA M6
1023c785-8330-4204-8b94-2cdf73be6140,GO-3450494,RELAY - G4 - 48V BRANCO
106d0dd8-f099-4977-b71b-ed907af69cd2,TEC-CU945,SENSOR PROXIMIDADE NPN
10e86cd0-f69f-4a84-95c0-4a26acabb6d0,OF-CS-AN-RE-M10,ANILHA RECARTILHADA INOX M10
112ac488-6cac-4a85-8c02-76cde0d66095,HA-149-388,DOBRADI�A
1157e142-964d-4975-aab6-cb755c15e876,GO-7140630,KIT 2 DISCOS - G2
11bce1b8-0535-47ff-84cf-69b462fb4748,GO-6101468,VIDRO LATERAL DA CABINE ESQ. G3
11e147e1-0b03-435d-bd96-d23106183069,GO-7140754,MOTOR 36 KW - G6
1228cf0b-f813-47e9-8774-3bbf97e64b25,GO-7140097-01,KIT CARREGADOR 48V/30A C/ACESS�RIOS 180AH - G3
1236592d-00ff-4055-a6a3-615b20b4e173,HA-106-074,INDICADOR DE NÍVEL DE ÁGUA
123e5b23-3aae-4c3a-a39d-360a02776c55,GO-7100003-03,TRIANGULOS INFERIORES
125dc608-2bb2-47c7-ba1f-e36decb19e22,GO-7002289,CALHA VERTICAL JANELA DIR/ESQ. G4
128b10f5-2728-4701-bd37-e042f1b036a5,OF-CS-PO-RE-CB-M5,PORCA REBITAR CABE�A BAIXA M5
128bacf9-88ce-454c-b197-88fe12adf8c5,HA-73-340,CASQUILHO
128c448c-b3fe-4126-944e-e2a4fcebe2d7,TSM-2665-0194-0,TUBO DE ASPIRAÇÃO
12ef620f-e33b-4a03-b7cb-aabe35e5f97d,OF-CS-EL-TU-005,TUBO TERMORRETRATIL TTRA 12-3 ARVI
1315ed73-9267-47b7-b3de-ed88c3543456,GO-3450428,CORTA CORRENTE G5
133a7dc0-3b6f-4df3-b92f-e22eb722148f,HA-113-450,PERNO DE FIXAÇÃO
1346ce79-9352-41b9-b88a-1a5a88f9afe5,HA-147-255,PLACA
1383ff51-194b-46ea-bbfc-a9a32dcc907c,GO-6207533,LETRAS DE GOUPIL
139c2d2a-90c5-47f7-a319-2b7e1455b1b4,HA-147-194,CASQUILHO
1402cece-8bc4-4c1e-81e0-e51be465f5bc,GO-2100584,KIT REPARACAO TRAVAO
1404a2fa-0783-4042-8343-a06c5e8dd859,HA-147-225,RODA C/ ROLAMENTOS
140beb88-4b91-4fbb-b113-e335f2a3540b,HA-301-594,LATERAL INFERIOR DIR - BRANCA
14770e98-536c-4716-b258-e39f65adb0e9,OF-CS-RB-AL-5X18,REBITE ALUM�NIO 5X18
149a6c41-7272-4d83-9c36-caa6ac9b72d4,OF-CS-PF-SX-08X025,PARAFUSO A�O  SEXT. 08X025 DIN 6921
153f167d-5289-4ea7-a0ee-0265c1ffd4f4,GO-4151055,PUXADOR INTERIOR ESQ G6
1573db92-d482-42c5-89c7-524ffc18da42,GO-7140383,AMORTECEDOR COMPLETO FRONTAL G4
1580506f-593a-40cb-a702-c1384da5fb83,GO-3450385,CABO DE CARREGAMENTO FEMEA
1584f4f2-548e-414a-9ec5-e7bce1db0750,OF-CS-EL-BO-001,BORNE ISOLADO6MM
15cfb647-6c49-4ff3-8980-3b38eb25b032,P-4165,FILTRO DE AR DE SEGURAN�A
15e8ee3b-d45c-4990-b5d0-62f29f3b1e5f,HA-150-123,CORREIA ALTERNADOR
163c4d2d-8539-42d1-b32e-816a5fa0c4aa,HA-149-466,BOLA
1696b5e5-58b4-4fc8-8cab-c691bd9ff91c,HA-150-319,JUNTA
16a6b10e-25d2-41ae-8e22-61a699de989e,GO-6200725,CABLAGEM PRINCIPAL G4
16be520e-b7ea-4f63-bba8-4855b50395e1,GO-FU60A,FUS�VEL BORNE BATERIA AUXILIAR 60A
16c2e08f-c200-4d76-ab46-9ad89ca27f9c,GO-6104542,SUPORTE P�RA-CHOQUES TRASEIRO G5
16eda080-3ca6-433d-9346-256f12f776f6,OF-CS-PO-FR-M12,PORCA FREIADA M12
175aac9f-0385-422b-92ed-799447285d7f,OF-CS-PF-IN-CM5X16,PARAFUSO CC INOX M5X16
176087f9-0436-4a00-ac1d-c466b53ec6be,GO-2100466,ROTULA
18144353-a9fe-47ec-a318-801a4241b0da,OF-CS-EL-TU-004,TUBO TERMORRETRATIL TTRA 16-5 ARVI
183b3ad1-1742-410c-ae42-ed88d08effe8,OF-FI-COM,FICHA DE COMANDO
18821713-0f86-4b09-b5d8-c9df96bf08f2,HA-044,ATIVA��O LICEN�A ANUAL DIAGRA WV
1894ded8-816c-4fce-b681-7cfaf40c95fd,GO-6207846,PROTE��O RODA FRENTE ESQ - G6
189d82e9-4435-49bb-89d6-7f87ec8c315a,OF-CS-EL-FI-001,FIO FV 35 PRETO
18bd11e4-a6f9-4d62-b999-85e4f9627e90,GO-2100557,FLANGE DE TRANSMISS�O G3
18e06771-44e1-4af4-b03b-7efad8399fca,HA-147-087,BORRACHA LATERAL
19189045-5bc6-4558-a97f-2342f9348376,GO-2100400,SEMI-EIXO G3
19292233-3c5c-426b-b6cc-bb4a5a2ebbad,HA-150-026,VALVULA DE COMANDO
1980f2dc-3da0-4479-98ec-e15a66396fb7,HA-122-176,SENSOR B17/B16
19f51b14-68cc-4c59-af0f-c29037ba02aa,GO-4150860,ROTULA
1a0cf86e-e121-4504-9d56-06c3ff6f313f,HA-107-617,ANILHA
1a18a82c-04bd-4644-8cc0-cc43eb868e81,GO-127MP063,FECHO DA PORTA ESQ G2
1a4e0042-732d-4453-a07c-80f207fd32ed,GO-6207530,GRELHA FRONTAL G2
1a7bc2b3-7bd6-41ac-82a5-6b4c4bc9cf45,GO-6207646,CREMALHEIRA DE DIRE��O G5
1aab1a10-c956-4fe2-9d39-1827603c6a11,GO-3550133,FAROL DE PRESEN�A LED G3
1b031c4d-9599-42be-91f7-ed5ca3c4871f,OF-CS-EL-TU-003,TUBO TERMORRETRATIL 20.7-10.0HFT-20.1 AZ
1b2186c0-8b67-49fb-be58-c501dc9c960f,HA-114-348,FILTRO DE AR
1b80aac5-f85c-4bdf-9cba-d43ff273476c,OF-CS-HD-TB-BF900,TUBO HIDR�ULICO C/900MM
1b9002f2-0ba1-4270-9347-63d07ee5f60c,HA-150-376,DISCO
1bcdc046-dbb6-45fc-baf6-81a03658cf70,HA-147-398,TURBINA
1c25711c-8486-42d7-93bc-e147bd0406ee,RA-33130875,CORREIA AC
1c792b17-58b1-480f-8195-8a03615c9fd3,GO-6400035,CABO DE TRAV�O DE M�O - G4
1d0a917e-d6b8-46c5-baf8-3caeadac6518,OF-CS-UN-001,UNI�O CRAVAR COBRE UC 35
1d327e89-2a0d-42b8-84f4-07c6287f83e6,GO-4100064,PNEU 155R13  G4
1d869552-aafa-41cd-92b1-25291346f860,GO-4000376,CILINDRO PRINCIPAL DE TRAV�ES G3
1db0d3fe-4363-426b-97a6-4a4f1fdbb8cb,GO-2100724,CUBO RODA TRASEIRA
1db6df6b-fbfe-4916-8824-8d731ff890a7,TSM-2365-0081-0,LATERAL DIREITA | BRANCA  | ARIA 240
1de8fea3-4eb8-40c8-9cda-e873448febb3,GO-4000347,BOMBA DE ALTA PRESS�O
1e06abc4-f272-4d0f-bf9b-69351c3d9885,GO-7140409,PORTA COMPLETA ESQUERDA G4
1e7971f3-34ee-4aab-bad2-b584a66fb35a,GO-7140776,KIT DO EIXO DE TRANSMISSÃO DIREITO | G6
1e8605e4-98ca-4930-8e56-8dda55e4991d,P-4137,FILREO DE COMBUST�VEL EM LINHA
1f9d307d-7136-476b-baf1-159848f0215a,OF-CS-HD-TU19X26,TUBO CRISTAL ENTRANCADO 19X26
1fb4efd4-3b4c-4125-9eeb-e4d1602e32ae,GO-105211121,JUNTA ROTULA
200a84fa-eb3e-4b0e-9e5b-bb2268b9ec59,GO-8410086,CABO CURTIS 1309
20b7cfe8-0a82-4b2d-8f60-5cafbf956ac2,OF-CS-AN-CH-8X125,ANILHA CHAPA M8 DIN 125
20cb7ff3-b804-49e3-b77a-e956137f8ac7,GO-5300007,ANILHA
20ee4c14-4b68-4d07-9332-f63583615451,GO-6500525,LOG�TIPO GOUPIL
21834dc7-15d7-4b66-a388-77849473ed9c,GO-5250082,MOLA
21c4078e-742c-4fdb-bc64-fb1d95888d3b,GO-4151144,KIT PASTILHAS TRAVAO TR | G6
21d8848d-5325-46f2-9946-677573107bb6,GO-2101637,MSD
220993b8-740d-4497-a44f-326f80b9644f,OF-CS-LI-SP001,LIMPA VIDROS
22114738-0438-425f-8974-74a94d104e5c,GO-6200729,FICHA
2250a70b-a3d3-4fec-8188-ba7d9332fcab,OF-CS-EL-TE-003,TERMINAL CILINDRICO MACHO 1.5-2.5
22b2269b-f4a4-4916-90db-8a2c673d32c8,GO-6207291,VIDRO DA PORTA DO LADO ESQUERDO G4
22c1c228-2b4b-4ff8-85ce-c35ad46527d1,GO-7140432,KIT SENSOR DE TRAVAO DE MAO G4
22e6aa97-83ea-40d8-a179-e3eba7c18f93,HA-116-781,MOLA PNEUMATICA
22f36980-1f2b-4a4c-be1a-de480c4a2c42,HA-101-950,CONECTOR DE BICO
2336033e-518b-4755-b11b-fa8eb0b51f96,GO-104012818,CONTATOR PRINCIPAL
23914d62-8ab5-4fad-8b83-1aab85922372,GO-2150064,"COMANDO ESQ. (LUZES, PISCAS E BUZINA)  G3"
2445a877-5964-489e-abe3-21399ff6d8bd,GO-3550088,FAROLIM FRENTE ESQUERDO  G3
244dec29-f52a-43d0-b5be-10bd50173f4f,GO-E500745,CONVERSOR 48V/12V - G3
24555f22-5877-4433-bc50-aa8191e71323,HA-114-031,COUPLING SLEEVE
2486ca42-446c-4cf2-a40d-0552e894344f,OF-CS-EL-TE-015,TERMINAL FAST-ON  F. 6.3X0.8
24a22d36-0044-43b1-a1ef-957cb8c221bb,TSM-2328-0002-0,FILTRO PRINCIPAL POLIESTER
250f9aa5-651b-43f1-b58f-b542b654802e,HA-ENG-F,ENGATE R�PIDO AP F - HAKO
2526b0f8-bc0a-48a8-a494-7bb257b60d7a,GO-6200706,FEIXE
255db943-4817-455d-ac3b-8dd8af776349,GO-6207897,AMORTECEDOR G4
25a75f19-dca4-4d55-bb51-d9fa61ceca4c,GO-6001082,P�RA-CHOQUES G3
25b99089-026c-4e83-96c1-7abdd28f2042,GO-7141064,KIT DE MODIFICAÇÃO CABLAGEM DO TETO - G6
25e4cd83-acd8-4bb9-8ad1-91086cfb63f9,GO-2101291,"BMS PRINCIPAL G6 28,8KW"
26404e3d-99ce-4f2e-9b1f-5bbeb739e128,OF-CS-AN-CH-M6AL,ANILHA CHAPA ABA LARGA M6
26e840f9-4f3c-42da-8603-9c9b9e02bb62,HA-108-319M,KIT DE JUNTAS
26eb4876-4599-407f-8015-15e88f1d686a,GO-7140389,PORTA COMPLETA ESQUERDA G4
273f2cbe-334d-4eed-a2ca-840275cab023,GO-3450464,BOT�O G4
273fefce-2196-4944-91e0-c8aef0fcf32e,OF-CS-PF-SX-10X35,PARAFUSO A�O  SEXT. 10X35 DIN 933
275d567b-68fc-4957-b5b8-8b39316ef8cd,GO-6101597,FECHO CORTINA
27649df8-49e8-4ab9-bea7-0ff286b7a129,GO-8410206,CABO USB
27bca4d7-6c90-4382-ba31-4ec9872a61c5,OF-CS-PO-RE-CB-M8,PORCA REBITAR CABE�A BAIXA M8
27c0ad04-b957-4dc5-b959-6df526c05f65,GO-3450631,PEDAL ACELERADOR
2804b7e3-c312-4f7a-ba78-d089bf0cc621,GO-7141127,KIT TROCA DE FUSIVEIS F8 E F22 - G6 (SB 71725305)
28833f11-c055-4007-8d91-5354ecfe8fae,GO-4200558,DIRE��O ASSISTIDA EL�TRICA - G6
295a57b9-82c3-4916-b687-df13def029b2,TSM-15-0112-029,INTERRUPTOR PRETO
29631175-0ec6-4cc8-9428-53a75d0fc5f6,GO-126MD065,JOGO DE PASTILHAS TRAVAO (4 UNID
29e42b86-9d00-49e2-ad4f-105bafd2ed7b,HA-116-814,TAMPA SUPERIOR TRASEIRA - CINZA
2a31dd60-846e-46ad-9d5a-7de8d96e1b3f,HA-122-079,CORREIA TURBINA
2a362cfb-81e1-4fd2-80b5-cd1aba3c5106,HA-150-120,ANILHA PARA TACO
2a4c0fa3-ddc5-4c35-8417-2a21ff1c508d,HA-116-068,BOQUILHA
2b2d12c6-1902-44cb-a98f-f151debe99c9,GO-7100004-01,BRA�O DE SUSPENS�O SUPERIOR MONTADO
2ba36c64-1c1e-4c02-a48e-388e4c420bfc,HA-150-075,FILTRO AR SECUNDARIO
2bacdf64-deeb-41e8-b025-1741f3331afb,GO-E50054,BOT�O DE STOP DE EMERGENCIA G3
2bc04800-8bc2-4b5b-bdc4-f4b732312511,HA-149-715,TANQUE OLEO HIDRAULICO | HAKO
2c375d75-3e18-4241-9aca-ffc12bdd3638,GO-3500290,MOTOR DO ASPIRADOR
2cda1952-ee9a-47fd-adfd-156a664e8765,GO-2100183,JUNTA REDUTOR - COMEX
2d220185-3502-4022-a5d6-036920cd7f44,GO-7140972,MANETE CONTROLO LUZES G4 - ESQ
2d5d4312-0ee7-45e2-8fd5-e30a82ebc9db,OF-CS-EL-TE-016,TERMINAL FAST-ON  M. 6.3X0.8
2d5e64b9-ef84-4b3b-99ee-6e868d0547f4,GO-4150966,ESCOVA PARA BRISAS - G4
2d9671a3-e736-454d-aa8c-8e23e79eaf01,HA-150-325,JUNTA DA CABE�A 0.4
