id,nome,moradaSede,estaleiros,coordsSede
E077,"MUNICIPIO DE ARRAIOLOS","PC DO MUNICIPIO N 27, 7040-027 ARRAIOLOS","[{""id"":""0.2021142278634862"",""morada"":""R. das Flores, 7040-010 Arraiolos"",""nome"":""OFICINAS"",""responsavel"":"""",""telefone"":""""}]",""
E078,"SERVICOS MUNICIPALIZADOS VIANA CASTELO","R DAS MORDOMAS DA ROMARIA , 4904-877 VIANA DO CASTELO","[]",""
E079,"TEJO AMBIENTE - EMPRESA INTERMUNICIPAL DE AMBIENTE","EDIFICIO PAÇO DO CONDE RUA DR FRANCISCO SA CARNEIRO, 2490-548 OUREM","[]",""
E080,"MUNICIPIO DE VIZELA","PC DO MUNICIPIO N 522 , 4815-013 VIZELA","[]",""
E081,"MUNICIPIO DE AGUEDA","PC DO MUNICIPIO , 3750-111 ÁGUEDA","[]",""
E082,"MUNICIPIO DE ANSIÃO","PR DO MUNICIPIO, 3240-143 ANSIAO","[]",""
E083,"VAL�RIO AUTO, LDA","ZONA INDUSTRIAL LOTE 5, 5200-287 MOGADOURO","[]",""
E084,"FREGUESIA DE CAMPOLIDE","RUA DE CAMPOLIDE, 24-B, 1070-036 LISBOA","[]",""
E085,"FUNDAÇÃO CULTURSINTRA","RUA BARBOSA DU BOCAGE QUINTA DA REGALEIRA , 2710-567 SINTRA","[]",""
E086,"MUNICIPIO DE OLIVEIRA DO BAIRRO","R CONDE FERREIRA, 3770-211 OLIVEIRA DO BAIRRO","[]",""
E087,"Freguesia de Encosta do Sol","Rua Luís Vaz de Camões, 2650-197 Amadora","[]",""
E088,"MUNICIPIO DE MONTEMOR O NOVO","L PAÇOS DO CONCELHO , 7050-127 MONTEMOR-O-NOVO","[]",""
E089,"FPF - GESTAO DE INFRAESTRUTURAS E EQUIPAMENTOS DESPORTI","AVENIDA DAS SELEÇÕES CRUZ QUEBRADA, 1495-000 CRUZ QUEBRADA-DAFUNDO","[]",""
E090,"APIN - EMPRESA INTERMUNICIPAL DE AMBIENTE DO PINHAL INT","ZONA INDUSTRIAL DE PENELA LOTE 15, 3230-347 PENELA","[]",""
E091,"FCC ENVIRONMENT PORTUGAL, SA","AV DA BOAVISTA NUMERO 3523 5 ANDAR ESCRITORIO 504 , 4100-139 PORTO","[{""id"":""0.3198348433612478"",""morada"":""Rua da Carvalheira, Pavilhão FCC.186 4630-355 Marco de CanaveseS"",""nome"":""FCC - Marco"",""responsavel"":"""",""telefone"":""""}]",""
E092,"JF Campo de Ourique","Rua Azedo Gneco, n 84 - 2º, 1350-039 Lisboa","[]",""
E093,"RVU - RECOLHA TRANSPORTE E VALORIZAÇÃO DE RESIDUOS LDA","URBANIZAÇÃO QUINTA CASAL DOS FRADES LOTE 1 PAINEL, 2435-661 SEICA","[]",""
E094,"Freguesia de Odivelas","Alameda do poder local n 4 r/c, 2675-427 ODIVELAS","[]",""
E095,"ECOAMBIENTE - SERVI�OS E MEIO AMBIENTE, SA","PARQUE INDUSTRIAL DA ABRUNHEIRA QUINTA DO LAVI EDIFICIO , 2710-089 SINTRA","[]",""
E096,"CLECE SA","RUA RUI TELES PALHINHA N 8 2 D, 2740-278 PORTO SALVO","[]",""
E097,"NAVIGATOR PULP FIGUEIRA SA","POLO INDUSTRIAL NAVIGATOR COMPANY , 3090-451 LAVOS","[]",""
E098,"MUNICIPIO DE CHAVES","LG DE CAMÕES, 5400-150 CHAVES","[]",""
E099,"FREGUESIA DE ARROIOS","LARGO DO INTENDENTE PINA MANIQUE N S 40 42, 1100-285 LISBOA","[]",""
E100,"ALGAR - VALORIZAÇÃO E TRATAMENTO DE RESIDUOS SOLIDOS","BARROS DE SAO JOAO DA VENDA, 8135-026 ALMANCIL","[]",""
E101,"MUNICIPIO DE LOULE","PC DA REPUBLICA 5 , 8104-001 LOULÉ","[]",""
E102,"MUNICIPIO DE VILA NOVA DE FAMALICAO","PC ALVARO MARQUES , 4764-502 VILA NOVA DE FAMALICÃO","[]",""
E103,"MUNICIPIO DE MONTEMOR O VELHO","PC DA REPUBLICA , 3140-258 MONTEMOR-O-VELHO","[]",""
E104,"JF de Arca e Ponte de Lima","Rua Dr. Ferreira Carmo, n 150, 4990-112 Ponte de Lima","[]",""
E105,"JF LOMBA","Largo José Saramago, n 174, 4515-248 Lomba Gondomar","[]",""
E106,"CARVOEIRO GOLFE S A","EMPREENDIMENTO DO GRAMACHO LOTE 4 EDIFICIOS DE ESCRITOR , 8400-080 ESTOMBAR","[]",""
E107,"FREGUESIA DE TRANCOSO, SAO PEDRO E SANTA MARIA E SOUTO","Largo S. João, N. 6, 6420-079 TRANCOSO","[]",""
E108,"MUNICIPIO DA FIGUEIRA DA FOZ","FIGUEIRA DA FOZ , 3084-501 FIGUEIRA DA FOZ","[]",""
E109,"MARINA DE VILAMOURA SA","AVENIDA ROCHA BAIXINHA ESCRITORIOS MARINA DE VILAMOURA, 8125-409 QUARTEIRA","[]",""
E110,"NAVIGATOR PAPER FIGUEIRA, S.A.","POLO INDUSTRIAL DA NAVIGATOR COMPANY - LAVOS, 3090-451 Lavos","[]",""
E111,"Mercado Abastecedor do Porto, SA","Rua Chaves de Oliveira, 181 A 193 , 4350-104 PORTO","[]",""
E112,"UF GONDOMAR (SAO COSME), VALBOM E JOVIM","RUA DA IGREJA 71, 4420-164 GONDOMAR","[]",""
E113,"MUNICIPIO DO REDONDO","PR DA REPUBLICA , 7170-011 REDONDO","[]",""
E114,"UNILIFT - MANUTENÇÃO E ALUGUER DE M�QUINAS, UNIPESSOAL","Parque Empresarial da Ribeira Brava Lote 10/12, 9350-104 Ribeira Brava","[]",""
E115,"MUNICIPIO DE TOMAR","PC DA REPUBLICA , 2300-550 TOMAR","[]",""
E116,"MUNICIPIO DE VILA NOVA DE GAIA","R ALVARES CABRAL, 4400-017 VILA NOVA DE GAIA","[]",""
E117,"MUNICIPIO DE MIRA","PRAÇA DA REPUBLICA S/N, 3070-304 MIRA","[]",""
E118,"ÁGUAS DE GAIA, EM, S.A.","RUA 14 DE OUTUBRO N 287 , 4430-050 VILA NOVA DE GAIA","[]",""
E119,"MUNICIPIO DE S PEDRO SUL","LG DE CAMOES, 3660-436 SAO PEDRO DO SUL","[]",""
E120,"MUNICIPIO DE ODEMIRA","PRAÇA DA REPUBLICA, 7630-139 ODEMIRA","[{""id"":""0.9847057292892336"",""morada"":""Sitio Bemparece, Portas Do Transval, Odemira, 7630-208 Odemira"",""nome"":""Estaleiro"",""responsavel"":"""",""telefone"":""""}]",""
E121,"INOVA - EMPRESA DE DESENVOLVIMENTO ECONOMICO E SOCIAL","CANTANHEDE, 3060-197 CANTANHEDE","[]",""
E122,"MUNICIPIO DE VIANA DO ALENTEJO","R BRITO CAMACHO N 13, 7090-237 VIANA DO ALENTEJO","[]",""
E123,"MUNICIPIO DE PALMELA","LG DO MUNICIPIO , 2950-222 PALMELA","[]",""
E124,"LUS�GUA -SERVI�OS AMBIENTAIS, SA","AV MARECHAL GOMES DA COSTA - N 33 - 1 - LETRA A , 1800-255 LISBOA","[]",""
E125,"MUNICIPIO DE ALANDROAL","PC DA REPUBLICA , 7250-116 ALANDROAL","[]",""
E126,"JF de Mirandela","Rua Clemente Menéres, 159, 5370-321 MIRANDELA","[]",""
E127,"KNOWER PROJECTS, S.A.","Rua do Proletariado, n 2-A, 2790-063 Carnaxide","[{""id"":""0.04464071358611843"",""morada"":""Q.ta da Trindade, 2840-600 Seixal"",""nome"":""Benfica Campus"",""responsavel"":"""",""telefone"":""""}]",""
E128,"MUNICIPIO DE OBIDOS","LG DE SAO PEDRO, 2510-086 OBIDOS","[]",""
E129,"PRAINHAMAR EXPLORACAO HOTELEIRA SA","ALDEAMENTO DA PRAINHA - PRAIA DOS TRES IRMÃOS, 8500-072 ALVOR","[]",""
E130,"FREGUESIA DE QUARTEIRA","R VASCO DA GAMA - NR 85 - R/C , 8125-256 QUARTEIRA","[{""id"":""0.4232280772487219"",""morada"":""Edf \""A Nora, R. 25 de Abril 1 R/C - loja S, 8125-116 Quarteira, Portugal"",""nome"":""Armazém"",""responsavel"":"""",""telefone"":""""}]",""
E131,"MUNICIPIO DE PAÇOS DE FERREIRA","PC DA REPUBLICA N 46, 4590-527 PAÇOS DE FERREIRA","[]",""
E132,"A R M - AGUAS E RESIDUOS DA MADEIRA S A","R DOS FERREIROS N 148 150 , 9000-082 FUNCHAL","[]",""
E133,"ASSOCIAÇÃO DE MUNICÍPIOS DO DOURO SUPERIOR","AV DOS COMBATENTES DA GRANDE GUERRA , 5160-217 TORRE DE MONCORVO","[]",""
E134,"VILA VITA PORTUGAL ACTIVIDADES TURISTICAS HOTELEIRAS","RUA ANNELIESE POHL, ALPORCHINHOS, 8400-450 PORCHES","[]",""
E135,"MUNICIPIO DE PONTE DE LIMA","PC DA REPUBLICA , 4990-062 PONTE DE LIMA","[{""id"":""0.38049257460484764"",""morada"":""R. Dr. Filinto de Morais, 4990-150 Ponte lima"",""nome"":""Estaleiro"",""responsavel"":"""",""telefone"":""""}]",""
E136,"MUNICIPIO DE VALENÇA","PRAÇA DA REPUBLICA, 4930-702 VALENÇA","[]",""
E137,"ELECTROCANOSSA ELECTRICISTAS AUTO LDA","PARQUE EMPRESARIAL DE PAÇO RUA DA ZONA INDUSTRIAL N 696, 4970-249 ARCOS DE VALDEVEZ","[]",""
E138,"MUNICIPIO DE CINFÃES","LARGO DOS PAÇOS DO CONCELHO , 4690-030 CINFAES","[]",""
E139,"SERVICOS MUNICIPALIZADOS CASTELO BRANCO","AV NUNO ALVARES 32 R/C, 6000-083 CASTELO BRANCO","[]",""
E140,"CMPEAE - EMPRESA DE AGUAS E ENERGIA DO MUNICIPIO DO PORTO","R BARAO NOVA SINTRA N 285, 4300-367 PORTO","[]",""
E141,"MUNICIPIO DE PAREDES","PARQUE JOSE GUILHERME, 4580-130 PAREDES","[]",""
E142,"MUNICIPIO DE GOUVEIA","AV 25 DE ABRIL, 6290-554 GOUVEIA","[{""id"":""0.4095740016973519"",""morada"":""Pq. Ecológico de Gouveia, 6290-000"",""nome"":""Parque Ecológico de Gouveia"",""responsavel"":"""",""telefone"":""""}]",""
E143,"MUNICIPIO DE CARRAZEDA ANSIAES","R JERONIMO BARBOSA N 0, 5140-077 CARRAZEDA DE ANSIAES","[]",""
E144,"ROCA SA","PONTE DA MADALENA , 2420-213 COLMEIAS","[]",""
E145,"MUNICIPIO DE EVORA","PC DO SERTORIO, 7000-509 ÉVORA","[{""id"":""0.059682187549693344"",""morada"":""R. António Francisco Melro, 7000-212 Évora"",""nome"":""OFICINAS"",""responsavel"":"""",""telefone"":""""}]",""
E146,"MUNICIPIO DE ARCOS DE VALDEVEZ","PC MUNICIPAL, 4970-441 ARCOS DE VALDEVEZ","[]",""
E147,"RESIDUOS DO NORDESTE, EIM, SA","RUA FUNDAÇÃO CALOUSTE GULBENKIAN, 5370-340 MIRANDELA","[]",""
E148,"TROFAMBIENTE, E. M. SOCIEDADE UNIPESSOAL, LDA","EDIFICIO DOS PAÇOS DO CONCELHO DA TROFA, 4785-394-TROFA","[]",""
